geocode,year,count,country,log_count
0,USA,1842,1,USA,0.5
0,USA,1843,4,USA,1.3862943611198906
0,USA,1844,4,USA,1.3862943611198906
0,USA,1845,4,USA,1.3862943611198906
0,USA,1846,5,USA,1.6094379124341003
0,USA,1847,4,USA,1.3862943611198906
0,USA,1848,4,USA,1.3862943611198906
0,USA,1849,4,USA,1.3862943611198906
0,USA,1850,4,USA,1.3862943611198906
0,USA,1851,4,USA,1.3862943611198906
0,USA,1852,4,USA,1.3862943611198906
0,USA,1853,4,USA,1.3862943611198906
0,USA,1854,4,USA,1.3862943611198906
0,USA,1855,5,USA,1.6094379124341003
0,USA,1856,4,USA,1.3862943611198906
0,USA,1857,4,USA,1.3862943611198906
0,USA,1858,4,USA,1.3862943611198906
0,USA,1859,5,USA,1.6094379124341003
0,USA,1860,6,USA,1.791759469228055
0,USA,1861,6,USA,1.791759469228055
0,USA,1862,5,USA,1.6094379124341003
0,USA,1863,5,USA,1.6094379124341003
0,USA,1864,6,USA,1.791759469228055
0,USA,1865,5,USA,1.6094379124341003
0,USA,1866,5,USA,1.6094379124341003
0,USA,1867,6,USA,1.791759469228055
0,USA,1868,4,USA,1.3862943611198906
0,USA,1869,6,USA,1.791759469228055
0,USA,1870,7,USA,1.9459101490553132
0,USA,1871,6,USA,1.791759469228055
0,USA,1872,7,USA,1.9459101490553132
0,USA,1873,6,USA,1.791759469228055
0,USA,1874,6,USA,1.791759469228055
0,USA,1875,6,USA,1.791759469228055
0,USA,1876,8,USA,2.0794415416798357
0,USA,1877,6,USA,1.791759469228055
0,USA,1878,8,USA,2.0794415416798357
0,USA,1879,19,USA,2.9444389791664403
0,USA,1880,13,USA,2.5649493574615367
0,USA,1881,13,USA,2.5649493574615367
0,USA,1882,13,USA,2.5649493574615367
0,USA,1883,13,USA,2.5649493574615367
0,USA,1884,11,USA,2.3978952727983707
0,USA,1885,12,USA,2.4849066497880004
0,USA,1886,13,USA,2.5649493574615367
0,USA,1887,13,USA,2.5649493574615367
0,USA,1888,13,USA,2.5649493574615367
0,USA,1889,12,USA,2.4849066497880004
0,USA,1890,13,USA,2.5649493574615367
0,USA,1891,20,USA,2.995732273553991
0,USA,1892,17,USA,2.833213344056216
0,USA,1893,18,USA,2.8903717578961645
0,USA,1894,13,USA,2.5649493574615367
0,USA,1895,15,USA,2.70805020110221
0,USA,1896,23,USA,3.1354942159291497
0,USA,1897,16,USA,2.772588722239781
0,USA,1898,17,USA,2.833213344056216
0,USA,1899,14,USA,2.6390573296152584
0,USA,1900,16,USA,2.772588722239781
0,USA,1901,49,USA,3.8918202981106265
0,USA,1902,12,USA,2.4849066497880004
0,USA,1903,20,USA,2.995732273553991
0,USA,1904,30,USA,3.4011973816621555
0,USA,1905,37,USA,3.6109179126442243
0,USA,1906,27,USA,3.295836866004329
0,USA,1907,18,USA,2.8903717578961645
0,USA,1908,30,USA,3.4011973816621555
0,USA,1909,38,USA,3.6375861597263857
0,USA,1910,61,USA,4.110873864173311
0,USA,1911,79,USA,4.3694478524670215
0,CAN,1912,2,Canada,0.6931471805599453
1,USA,1912,83,USA,4.418840607796598
0,CAN,1913,2,Canada,0.6931471805599453
1,USA,1913,79,USA,4.3694478524670215
0,CAN,1914,1,Canada,0.5
1,USA,1914,86,USA,4.454347296253507
0,USA,1915,91,USA,4.51085950651685
0,USA,1916,146,USA,4.983606621708336
0,USA,1917,96,USA,4.564348191467836
0,USA,1918,93,USA,4.532599493153256
0,USA,1919,98,USA,4.584967478670572
2,NLD,1920,1,Netherlands,0.5
0,FRA,1920,3,France,1.0986122886681098
1,GBR,1920,3,Scotland,1.0986122886681098
3,USA,1920,111,USA,4.709530201312334
0,USA,1921,124,USA,4.820281565605037
0,USA,1922,121,USA,4.795790545596741
0,USA,1923,105,USA,4.653960350157523
0,USA,1924,107,USA,4.672828834461906
0,USA,1925,110,USA,4.700480365792417
0,USA,1926,89,USA,4.48863636973214
0,USA,1927,106,USA,4.663439094112067
0,USA,1928,86,USA,4.454347296253507
0,USA,1929,62,USA,4.127134385045092
0,CZE,1930,1,Czech Republic,0.5
1,DEU,1930,1,Germany,0.5
2,FRA,1930,1,France,0.5
3,GBR,1930,1,Scotland,0.5
4,HUN,1930,1,Hungary,0.5
5,USA,1930,67,USA,4.204692619390966
0,USA,1931,52,USA,3.9512437185814275
0,USA,1932,65,USA,4.174387269895637
0,USA,1933,76,USA,4.330733340286331
0,USA,1934,65,USA,4.174387269895637
0,USA,1935,66,USA,4.189654742026425
0,USA,1936,62,USA,4.127134385045092
0,USA,1937,72,USA,4.276666119016055
0,USA,1938,83,USA,4.418840607796598
0,USA,1939,98,USA,4.584967478670572
0,USA,1940,98,USA,4.584967478670572
0,USA,1941,101,USA,4.61512051684126
0,USA,1942,79,USA,4.3694478524670215
0,USA,1943,96,USA,4.564348191467836
0,USA,1944,102,USA,4.624972813284271
0,USA,1945,103,USA,4.634728988229636
0,USA,1946,146,USA,4.983606621708336
0,USA,1947,88,USA,4.477336814478207
0,USA,1948,92,USA,4.5217885770490405
0,USA,1949,92,USA,4.5217885770490405
0,USA,1950,98,USA,4.584967478670572
0,GBR,1951,9,Scotland,2.1972245773362196
1,USA,1951,105,USA,4.653960350157523
0,USA,1952,110,USA,4.700480365792417
0,USA,1953,106,USA,4.663439094112067
0,USA,1954,98,USA,4.584967478670572
