State,year,count,log_count
0,NY,1842,1,0.5
0,NY,1843,4,1.3862943611198906
0,NY,1844,4,1.3862943611198906
0,NY,1845,4,1.3862943611198906
0,NY,1846,5,1.6094379124341003
0,NY,1847,4,1.3862943611198906
0,NY,1848,4,1.3862943611198906
0,NY,1849,4,1.3862943611198906
0,NY,1850,4,1.3862943611198906
0,NY,1851,4,1.3862943611198906
0,NY,1852,4,1.3862943611198906
0,NY,1853,4,1.3862943611198906
0,NY,1854,4,1.3862943611198906
0,NY,1855,5,1.6094379124341003
0,NY,1856,4,1.3862943611198906
0,NY,1857,4,1.3862943611198906
0,NY,1858,4,1.3862943611198906
0,NY,1859,5,1.6094379124341003
0,NY,1860,6,1.791759469228055
0,NY,1861,6,1.791759469228055
0,NY,1862,5,1.6094379124341003
0,NY,1863,5,1.6094379124341003
0,NY,1864,6,1.791759469228055
0,NY,1865,5,1.6094379124341003
0,NY,1866,5,1.6094379124341003
0,NY,1867,6,1.791759469228055
0,NY,1868,4,1.3862943611198906
0,NY,1869,6,1.791759469228055
0,NY,1870,7,1.9459101490553132
0,NY,1871,6,1.791759469228055
0,NY,1872,7,1.9459101490553132
0,NY,1873,6,1.791759469228055
0,NY,1874,6,1.791759469228055
0,NY,1875,6,1.791759469228055
0,NY,1876,8,2.0794415416798357
0,NY,1877,6,1.791759469228055
0,NY,1878,8,2.0794415416798357
0,NY,1879,19,2.9444389791664403
0,NY,1880,13,2.5649493574615367
0,NY,1881,13,2.5649493574615367
0,NY,1882,13,2.5649493574615367
0,NY,1883,13,2.5649493574615367
0,NY,1884,11,2.3978952727983707
0,NY,1885,12,2.4849066497880004
0,NY,1886,13,2.5649493574615367
0,NY,1887,13,2.5649493574615367
0,NY,1888,13,2.5649493574615367
0,NY,1889,12,2.4849066497880004
0,NY,1890,13,2.5649493574615367
0,MA,1891,1,0.5
1,NY,1891,19,2.9444389791664403
0,NY,1892,17,2.833213344056216
0,NY,1893,18,2.8903717578961645
0,NY,1894,13,2.5649493574615367
0,NY,1895,15,2.70805020110221
0,NY,1896,23,3.1354942159291497
0,NY,1897,16,2.772588722239781
0,NY,1898,17,2.833213344056216
0,NY,1899,14,2.6390573296152584
0,NY,1900,16,2.772588722239781
0,NY,1901,14,2.6390573296152584
1,PA,1901,35,3.5553480614894135
0,NY,1902,12,2.4849066497880004
0,NY,1903,20,2.995732273553991
0,IL,1904,1,0.5
1,MO,1904,2,0.6931471805599453
2,NY,1904,27,3.295836866004329
0,NY,1905,37,3.6109179126442243
0,NY,1906,27,3.295836866004329
0,NY,1907,18,2.8903717578961645
0,NY,1908,30,3.4011973816621555
0,NY,1909,38,3.6375861597263857
0,CT,1910,1,0.5
3,OH,1910,1,0.5
5,RI,1910,1,0.5
1,MA,1910,2,0.6931471805599453
4,PA,1910,2,0.6931471805599453
2,NY,1910,54,3.9889840465642745
0,CT,1911,1,0.5
3,MD,1911,1,0.5
7,RI,1911,1,0.5
6,PA,1911,2,0.6931471805599453
2,MA,1911,3,1.0986122886681098
4,NJ,1911,3,1.0986122886681098
1,DC,1911,4,1.3862943611198906
5,NY,1911,64,4.1588830833596715
0,CT,1912,1,0.5
2,IL,1912,1,0.5
3,IN,1912,1,0.5
4,MA,1912,1,0.5
6,MI,1912,1,0.5
7,MO,1912,1,0.5
12,RI,1912,1,0.5
13,VA,1912,1,0.5
8,NJ,1912,2,0.6931471805599453
1,DC,1912,3,1.0986122886681098
5,MD,1912,3,1.0986122886681098
10,OH,1912,3,1.0986122886681098
11,PA,1912,3,1.0986122886681098
9,NY,1912,61,4.110873864173311
1,MA,1913,1,0.5
3,MI,1913,1,0.5
4,NJ,1913,2,0.6931471805599453
8,VA,1913,2,0.6931471805599453
0,DC,1913,3,1.0986122886681098
2,MD,1913,3,1.0986122886681098
6,OH,1913,3,1.0986122886681098
7,PA,1913,5,1.6094379124341003
5,NY,1913,59,4.07753744390572
